col1 = Filename
col2 = Percent correct ID
col3 = Number (out of 20) heard as iy
col4 = Number (out of 20) heard as ih
col5 = Number (out of 20) heard as ei
col6 = Number (out of 20) heard as eh
col7 = Number (out of 20) heard as ae
col8 = Number (out of 20) heard as ah
col9 = Number (out of 20) heard as aw
col10= Number (out of 20) heard as oa
col11= Number (out of 20) heard as oo
col12= Number (out of 20) heard as uw
col13= Number (out of 20) heard as uh
col14= Number (out of 20) heard as er
col15= Signal heard predominately as this vowel

Note: An asterisk to the far right means that the majority vote was
      for a vowel other than that intended by the talker.

Filename    %ID   iy  ih  ei  eh  ae  ah  aw  oa  oo  uw  uh  er Vote
m28ah.w     85.0   0   0   0   0   0  17   3   0   0   0   0   0  ah
m28aw.w     85.0   0   0   0   0   0   0  17   0   0   0   3   0  aw
m28eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m28ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m28er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m28ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m28iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m28oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m28oo.w     95.0   0   0   0   0   0   0   0   0  19   1   0   0  oo
m28uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m28uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m29ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m29ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m29aw.w     40.0   0   0   0   1   0  11   8   0   0   0   0   0  ah *
m29eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m29ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m29er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m29ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m29iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m29oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m29oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m29uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m29uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m30ae.w     95.0   0   0   0   1  19   0   0   0   0   0   0   0  ae
m30ah.w     90.0   0   0   0   0   0  18   0   0   0   0   2   0  ah
m30aw.w     95.0   0   0   0   0   0   0  19   0   0   0   1   0  aw
m30eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m30ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m30er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m30ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
